% Caracteristicas extraidas de los registros de GPS
%

@RELATION gps-caracteristicas-tambloque10

@ATTRIBUTE mean(dx) REAL
@ATTRIBUTE mean(dy) REAL
@ATTRIBUTE std(dx) REAL
@ATTRIBUTE std(dy) REAL
@ATTRIBUTE class{Cuadrado,CuadradoLento,CuadradoZigZag,AdelanteAtras}

@DATA
-0.164733,1.441416,0.195350,0.379552,Cuadrado
0.247100,0.906033,0.680927,0.856536,Cuadrado
0.741300,0.288283,0.674593,0.668912,Cuadrado
1.173724,-0.123550,0.160496,0.092662,Cuadrado
0.844258,-0.308875,0.564489,0.370650,Cuadrado
0.432425,-0.720708,0.586049,0.589296,Cuadrado
0.041183,-1.111949,0.154437,0.403906,Cuadrado
-0.102958,-1.111949,0.263903,0.403906,Cuadrado
-0.494200,-0.658933,0.563644,0.608413,Cuadrado
-0.906033,-0.226508,0.494200,0.412090,Cuadrado
-1.050174,0.020592,0.346711,0.144875,Cuadrado
-0.082367,1.173724,0.229068,0.434625,Cuadrado
0.308875,0.700116,0.641984,0.779565,Cuadrado
0.823666,0.226508,0.601315,0.584419,Cuadrado
1.173724,-0.082367,0.207200,0.097675,Cuadrado
0.844258,-0.350058,0.579500,0.519608,Cuadrado
0.432425,-0.761891,0.548198,0.574540,Cuadrado
0.061775,-1.173724,0.131044,0.262089,Cuadrado
-0.164733,-0.967808,0.352171,0.497087,Cuadrado
-0.555975,-0.555975,0.515923,0.614653,Cuadrado
-0.967808,-0.061775,0.379552,0.346711,Cuadrado
-0.041183,1.235499,0.180103,0.453951,Cuadrado
0.267691,0.885441,0.541192,0.897333,Cuadrado
0.720708,0.370650,0.596536,0.949507,Cuadrado
1.111949,-0.185325,0.414399,0.185325,Cuadrado
0.967808,-0.391241,0.522355,0.467412,Cuadrado
0.555975,-0.761891,0.635262,0.644950,Cuadrado
0.123550,-1.214908,0.307327,0.415549,Cuadrado
-0.226508,-1.132541,0.505650,0.467412,Cuadrado
-0.823666,-0.679525,0.917831,0.668198,Cuadrado
-1.256091,-0.205917,0.685813,0.397957,Cuadrado
0.041183,1.256091,0.274534,0.422380,Cuadrado
0.473608,0.782483,0.675299,0.785053,Cuadrado
0.947216,0.247100,0.567019,0.586049,Cuadrado
1.091358,-0.226508,0.485435,0.356212,Cuadrado
0.617750,-0.761891,0.723717,0.810171,Cuadrado
0.226508,-1.235499,0.522355,0.648637,Cuadrado
-0.205917,-1.194316,0.408603,0.687897,Cuadrado
-0.597158,-0.658933,0.679525,0.681627,Cuadrado
-1.029583,-0.144142,0.435722,0.318006,Cuadrado
0.020592,1.173724,0.364158,0.548198,Cuadrado
0.514791,0.638341,0.722397,0.753427,Cuadrado
1.050174,0.123550,0.571210,0.434625,Cuadrado
1.153133,-0.226508,0.432425,0.356212,Cuadrado
0.720708,-0.679525,0.638258,0.693422,Cuadrado
0.267691,-1.153133,0.394345,0.569537,Cuadrado
-0.226508,-1.132541,0.479503,0.574540,Cuadrado
-0.617750,-0.638341,0.563644,0.706372,Cuadrado
-1.029583,-0.164733,0.279698,0.326882,Cuadrado
-0.144142,0.720708,0.331231,0.689974,CuadradoLento
-0.082367,0.329466,0.097675,0.123550,CuadradoLento
0.144142,0.123550,0.202543,0.226976,CuadradoLento
0.288283,-0.041183,0.097675,0.081721,CuadradoLento
0.329466,0.020592,0.154437,0.061775,CuadradoLento
0.247100,-0.205917,0.226976,0.284768,CuadradoLento
-0.041183,-0.391241,0.081721,0.144875,CuadradoLento
-0.020592,-0.288283,0.061775,0.187881,CuadradoLento
-0.123550,-0.370650,0.307327,0.393133,CuadradoLento
-0.329466,0.000000,0.180103,0.092662,CuadradoLento
-0.391241,-0.020592,0.171974,0.061775,CuadradoLento
0.020592,0.535383,0.111366,0.111366,CuadradoLento
-0.020592,0.432425,0.111366,0.207200,CuadradoLento
0.205917,0.350058,0.235232,0.299465,CuadradoLento
0.370650,-0.041183,0.226976,0.081721,CuadradoLento
0.308875,0.061775,0.185325,0.092662,CuadradoLento
0.041183,-0.432425,0.123550,0.185325,CuadradoLento
0.000000,-0.494200,0.000000,0.092662,CuadradoLento
0.082367,-0.432425,0.134635,0.160496,CuadradoLento
-0.432425,0.061775,0.185325,0.092662,CuadradoLento
-0.453016,0.000000,0.097675,0.092662,CuadradoLento
0.000000,0.494200,0.092662,0.092662,CuadradoLento
-0.020592,0.391241,0.061775,0.144875,CuadradoLento
0.123550,0.185325,0.207200,0.320992,CuadradoLento
0.411833,0.082367,0.180103,0.163441,CuadradoLento
0.329466,0.102958,0.304206,0.586862,CuadradoLento
0.000000,-0.308875,0.185325,0.370650,CuadradoLento
0.061775,-0.576566,0.092662,0.111366,CuadradoLento
0.041183,-0.453016,0.081721,0.097675,CuadradoLento
-0.350058,0.020592,0.144875,0.144875,CuadradoLento
-0.329466,0.000000,0.154437,0.131044,CuadradoLento
-0.329466,0.041183,0.123550,0.123550,CuadradoLento
0.102958,0.453016,0.134635,0.247100,CuadradoLento
-0.061775,0.370650,0.160496,0.346711,CuadradoLento
0.123550,0.350058,0.245162,0.299465,CuadradoLento
0.308875,-0.061775,0.226976,0.160496,CuadradoLento
0.329466,0.041183,0.258423,0.081721,CuadradoLento
0.144142,-0.267691,0.180103,0.229068,CuadradoLento
0.020592,-0.473608,0.061775,0.163441,CuadradoLento
0.061775,-0.494200,0.092662,0.092662,CuadradoLento
-0.061775,0.020592,0.693422,0.527805,CuadradoLento
-0.473608,0.020592,0.247100,0.111366,CuadradoLento
-0.432425,0.350058,0.463312,0.511279,CuadradoLento
-0.123550,0.308875,0.207200,0.621599,CuadradoLento
0.061775,0.370650,0.160496,0.403906,CuadradoLento
0.226508,0.164733,0.422380,0.235232,CuadradoLento
0.453016,0.020592,0.163441,0.061775,CuadradoLento
0.411833,-0.020592,0.123550,0.061775,CuadradoLento
0.041183,-0.432425,0.081721,0.207200,CuadradoLento
0.041183,-0.494200,0.081721,0.092662,CuadradoLento
-0.020592,-0.391241,0.171974,0.235232,CuadradoLento
-0.308875,0.000000,0.160496,0.131044,CuadradoLento
-0.350058,0.000000,0.195350,0.131044,CuadradoLento
-0.350058,0.000000,0.171974,0.092662,CuadradoLento
-0.267691,0.144142,0.360207,0.451845,CuadradoZigZag
-0.041183,0.597158,0.432425,0.318006,CuadradoZigZag
-0.205917,0.803074,0.651572,0.226976,CuadradoZigZag
-0.061775,0.473608,0.705696,0.694110,CuadradoZigZag
0.494200,-0.123550,0.346711,0.699586,CuadradoZigZag
0.741300,-0.102958,0.185325,0.879616,CuadradoZigZag
0.597158,-0.144142,0.289750,0.827646,CuadradoZigZag
0.329466,-0.658933,0.522355,0.655950,CuadradoZigZag
0.267691,-1.091358,0.556832,0.252825,CuadradoZigZag
-0.308875,-0.555975,0.548198,0.833962,CuadradoZigZag
-0.597158,0.144142,0.488374,0.620062,CuadradoZigZag
-0.700116,0.041183,0.401537,0.751525,CuadradoZigZag
-0.205917,0.988399,0.467412,0.393133,CuadradoZigZag
0.020592,1.008991,0.535878,0.435722,CuadradoZigZag
0.308875,0.370650,0.453951,0.780788,CuadradoZigZag
0.597158,-0.041183,0.258423,0.716430,CuadradoZigZag
0.741300,-0.041183,0.160496,0.716430,CuadradoZigZag
-0.205917,-0.782483,1.337824,0.877987,CuadradoZigZag
-0.226508,-1.359049,1.266387,0.403906,CuadradoZigZag
-0.082367,-0.555975,0.525087,1.040133,CuadradoZigZag
-0.350058,0.020592,0.352171,0.804854,CuadradoZigZag
-0.514791,0.041183,0.522355,0.837956,CuadradoZigZag
0.164733,0.988399,0.387019,0.307327,CuadradoZigZag
0.041183,0.844258,0.598930,0.572044,CuadradoZigZag
0.535383,0.391241,0.617750,0.689974,CuadradoZigZag
0.720708,0.329466,0.543830,0.368067,CuadradoZigZag
0.267691,0.123550,0.649372,0.833962,CuadradoZigZag
-0.102958,-0.411833,0.770332,0.992733,CuadradoZigZag
-0.329466,-0.761891,0.546455,0.589296,CuadradoZigZag
-0.308875,-0.597158,0.370650,0.633758,CuadradoZigZag
-0.453016,-0.432425,0.564489,0.747068,CuadradoZigZag
-0.205917,-0.164733,0.755324,0.624661,CuadradoZigZag
-0.061775,0.761891,0.607628,0.195350,CuadradoZigZag
0.144142,0.473608,0.505650,0.473496,CuadradoZigZag
0.453016,0.247100,0.163441,0.507533,CuadradoZigZag
0.576566,0.247100,0.195350,0.555975,CuadradoZigZag
0.658933,-0.102958,0.263903,0.601315,CuadradoZigZag
0.226508,-0.658933,0.692045,0.655950,CuadradoZigZag
-0.082367,-0.864849,0.797711,0.711754,CuadradoZigZag
-0.432425,-0.411833,0.472488,0.728316,CuadradoZigZag
-0.494200,0.041183,0.185325,0.774038,CuadradoZigZag
-0.555975,-0.061775,0.499003,0.769712,CuadradoZigZag
-0.164733,0.988399,0.519608,0.307327,CuadradoZigZag
0.205917,0.864849,0.610760,0.293024,CuadradoZigZag
0.597158,0.658933,0.356212,0.556832,CuadradoZigZag
0.803074,0.597158,0.307327,0.751525,CuadradoZigZag
0.597158,-0.391241,0.538542,0.841365,CuadradoZigZag
0.000000,-0.988399,0.472488,0.346711,CuadradoZigZag
-0.082367,-1.132541,0.608413,0.494200,CuadradoZigZag
-0.226508,-0.967808,0.633758,0.577026,CuadradoZigZag
-0.617750,-0.514791,0.382057,0.318006,CuadradoZigZag
-0.020592,0.432425,0.061775,0.600521,AdelanteAtras
0.000000,0.411833,0.092662,0.685813,AdelanteAtras
0.000000,0.082367,0.131044,0.615429,AdelanteAtras
0.350058,0.061775,0.352171,0.293024,AdelanteAtras
0.123550,0.061775,0.563644,0.160496,AdelanteAtras
0.411833,-0.041183,0.530510,0.154437,AdelanteAtras
0.061775,-0.226508,0.131044,0.479503,AdelanteAtras
0.061775,-0.535383,0.131044,0.467412,AdelanteAtras
-0.020592,-0.226508,0.144875,0.561948,AdelanteAtras
-0.308875,0.000000,0.578677,0.160496,AdelanteAtras
-0.350058,0.041183,0.574540,0.081721,AdelanteAtras
-0.144142,0.041183,0.530510,0.081721,AdelanteAtras
0.000000,0.555975,0.131044,0.680927,AdelanteAtras
0.020592,0.288283,0.111366,0.681627,AdelanteAtras
0.020592,0.432425,0.111366,0.655222,AdelanteAtras
0.514791,0.000000,0.538542,0.092662,AdelanteAtras
0.164733,0.000000,0.677415,0.131044,AdelanteAtras
0.288283,-0.226508,0.541192,0.422380,AdelanteAtras
-0.020592,-0.370650,0.061775,0.614653,AdelanteAtras
-0.082367,-0.514791,0.163441,0.577026,AdelanteAtras
-0.185325,-0.123550,0.453951,0.307327,AdelanteAtras
-0.411833,0.000000,0.577026,0.092662,AdelanteAtras
-0.329466,0.061775,0.522355,0.092662,AdelanteAtras
0.000000,0.494200,0.000000,0.705696,AdelanteAtras
0.020592,0.267691,0.061775,0.797711,AdelanteAtras
0.144142,0.453016,0.401537,0.579500,AdelanteAtras
0.185325,-0.041183,0.586049,0.123550,AdelanteAtras
0.350058,-0.061775,0.677415,0.160496,AdelanteAtras
0.185325,0.041183,0.524178,0.154437,AdelanteAtras
0.102958,-0.205917,0.308875,0.397957,AdelanteAtras
-0.082367,-0.288283,0.134635,0.655950,AdelanteAtras
-0.020592,-0.453016,0.111366,0.636012,AdelanteAtras
-0.123550,-0.226508,0.320992,0.488374,AdelanteAtras
-0.535383,0.041183,0.438994,0.180103,AdelanteAtras
-0.226508,0.020592,0.530510,0.061775,AdelanteAtras
0.020592,0.555975,0.111366,0.621599,AdelanteAtras
0.020592,0.370650,0.111366,0.693422,AdelanteAtras
0.041183,0.288283,0.304206,0.516846,AdelanteAtras
0.617750,-0.020592,0.578677,0.061775,AdelanteAtras
0.041183,-0.267691,0.757216,0.360207,AdelanteAtras
0.082367,-0.453016,0.134635,0.781398,AdelanteAtras
0.102958,-0.700116,0.097675,0.538542,AdelanteAtras
0.020592,-0.102958,0.339762,0.371935,AdelanteAtras
-0.370650,-0.102958,0.499003,0.279698,AdelanteAtras
-0.144142,0.082367,0.479503,0.097675,AdelanteAtras
-0.267691,0.061775,0.425755,0.131044,AdelanteAtras
0.020592,0.370650,0.111366,0.655222,AdelanteAtras
-0.061775,0.370650,0.131044,0.711754,AdelanteAtras
-0.102958,0.205917,0.163441,0.738075,AdelanteAtras
0.041183,0.370650,0.081721,0.593329,AdelanteAtras
0.391241,-0.041183,0.720414,0.180103,AdelanteAtras
0.185325,-0.123550,0.769712,0.185325,AdelanteAtras
0.391241,-0.123550,0.766607,0.293024,AdelanteAtras
-0.041183,-0.411833,0.123550,0.685813,AdelanteAtras
-0.123550,-0.350058,0.131044,0.631496,AdelanteAtras
0.020592,-0.720708,0.111366,0.535878,AdelanteAtras
-0.308875,0.123550,0.607628,0.160496,AdelanteAtras
-0.144142,0.061775,0.584419,0.092662,AdelanteAtras
-0.164733,0.061775,0.543830,0.092662,AdelanteAtras
